,,,,,,,,,
Player Surname,Shots On Conceded P90,Player Surname,Big Chances Faced P90,Player Surname,Save %,Player Surname,Long Range Save %,Player Surname,Short Range Save %
Hennessey,7.118,J뒍skel둰nen,2.667,De Gea,0.767,Reina,0.946,Mignolet,0.671
Bogdan,6.000,Bogdan,2.650,Hart,0.729,De Gea,0.932,Vorm,0.662
J뒍skel둰nen,5.722,Ruddy,2.548,Vorm,0.723,Given,0.921,De Gea,0.635
Ruddy,5.639,Hennessey,2.471,Schwarzer,0.711,Cech,0.917,Begovic,0.623
Kenny,5.152,Given,2.228,Mignolet,0.710,Foster,0.906,Hart,0.617
Vorm,5.081,Foster,2.054,Begovic,0.709,Hart,0.904,Howard,0.615
Robinson,5.029,Krul,2.053,Friedel,0.708,Schwarzer,0.877,Ruddy,0.608
Begovic,4.960,Al-Habsi,1.947,Howard,0.691,Friedel,0.875,Schwarzer,0.600
Al-Habsi,4.868,Robinson,1.941,Reina,0.678,Howard,0.875,Friedel,0.598
Given,4.742,Begovic,1.849,Foster,0.674,Vorm,0.873,Hennessey,0.584
Schwarzer,4.733,Cech,1.794,Hennessey,0.674,Krul,0.870,Bogdan,0.578
Foster,4.649,Kenny,1.697,Ruddy,0.654,S퓊ensen,0.844,Foster,0.571
Krul,4.605,Szczesny,1.684,Given,0.651,Hennessey,0.830,Al-Habsi,0.566
De Gea,4.586,Vorm,1.676,S퓊ensen,0.648,Kenny,0.818,Given,0.559
Mignolet,4.582,S퓊ensen,1.643,Al-Habsi,0.643,Begovic,0.816,Reina,0.551
S퓊ensen,4.487,Friedel,1.395,Bogdan,0.642,Al-Habsi,0.794,Szczesny,0.547
Friedel,4.237,De Gea,1.379,Krul,0.640,Bogdan,0.784,J뒍skel둰nen,0.539
Cech,3.912,Schwarzer,1.367,Cech,0.632,Mignolet,0.783,Krul,0.537
Szczesny,3.579,Mignolet,1.259,Kenny,0.624,Ruddy,0.782,Kenny,0.530
Howard,3.579,Hart,1.211,Szczesny,0.618,Szczesny,0.780,S퓊ensen,0.487
Hart,3.500,Reina,1.209,J뒍skel둰nen,0.602,J뒍skel둰nen,0.778,Cech,0.471
Reina,3.390,Howard,1.079,Robinson,0.556,Robinson,0.733,Robinson,0.459
