Player Surname,Short Range Save Rate
Mignolet,0.670588235294
Vorm,0.661654135338
De Gea,0.635135135135
Begovic,0.622950819672
Hart,0.617283950617
Howard,0.614583333333
Ruddy,0.607843137255
Schwarzer,0.6
Friedel,0.59793814433
Hennessey,0.584415584416
Bogdan,0.578313253012
Foster,0.571428571429
Al-Habsi,0.565573770492
Given,0.558558558559
Reina,0.551282051282
Szczesny,0.547368421053
Jääskeläinen,0.539473684211
Krul,0.537190082645
Kenny,0.530434782609
Sørensen,0.487179487179
Cech,0.470588235294
Robinson,0.459459459459
